x,rho,P,u,e,M,H
-0.0590625,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0571875,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0553125,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0534375,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0515625,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0496875,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0478125,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0459375,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0440625,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0421875,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0403125,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0384375,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0365625,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0346875,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0328125,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0309375,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0290625,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0271875,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0253125,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0234375,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0215625,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0196875,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0178125,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0159375,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0140625,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0121875,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0103125,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0084375,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0065625,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0046875,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0028125,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0009375,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.0075,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.015,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.0225,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.03,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.0375,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.045,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.0525,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.06,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.0675,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.075,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.0825,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.09,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.0975,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.105,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.1125,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.12,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
0.1275,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.135,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.1425,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.15,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.1575,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.165,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
